HITId,WorkerId,double,WorkTimeInSeconds,Answer.S1,Answer.S2,Answer.S3,Answer.S4,Answer.S5,Answer.comment,Approve,Reject
2HFULRGNTBJ746BC80G7W62KIO67T8,A14J86Y1L3RCQ0,1,207,false,false,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A14J86Y1L3RCQ0,0,149,false,true,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A14ZS4XY2AXKXA,0,61,false,true,false,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A15YF53JJK7MRC,0,40,false,true,true,false,true,good work.,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A170AK4GI2S5G1,0,44,true,true,false,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1823B3S2PJMGQ,1,14,false,true,true,false,true,good,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1823B3S2PJMGQ,0,54,false,true,true,false,true,good,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1A0AISMRZ2VY4,0,31,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1C2LRGS40747I,0,58,false,false,true,false,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1P2EVJXWYR94M,0,39,false,false,false,true,true,i like this hit very much.,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1S88VQY8G8CNC,0,140,false,false,true,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1TZT6IH99DO6Q,0,52,false,true,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1UYS657H2WSZW,0,83,false,true,true,false,true,good,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1VTKPIKK5OT2D,0,28,false,true,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1WZHQWRROO7A5,0,65,false,true,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1X0LKW8471HJD,0,147,false,true,false,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1XJ3038CPMHX,0,54,false,false,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1Z22XQTUPTAU9,0,27,false,false,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A20ZH2NQ4ZXERB,0,39,true,true,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A22YXDQXUL7ANX,0,95,false,true,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A23AV72MKVTNW2,0,63,false,true,false,true,true,Simple work.,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A23XMMNVHAA02V,0,73,false,true,false,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A275SOA03Z98P7,0,74,false,false,true,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A28V53LZWCL8A3,1,17,false,false,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A28V53LZWCL8A3,0,32,true,false,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2D62XIREOVCH7,0,41,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2FLZZ8Z4YEOPR,0,87,false,false,true,false,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2HD5XMM48KKJW,0,66,false,false,true,false,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2IBLAKBXPA6PQ,0,25,true,true,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2KZ1NOHO4QFOQ,0,373,false,true,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2N0C6CGQXE2NS,0,71,false,true,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2PDSA5Q62R5K7,0,66,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2RNW82K96UYBM,0,67,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2U1DQGDXO0VSK,0,40,false,false,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2YM7PJ6OSMSR9,0,73,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2YPGARAKET7N5,1,28,false,true,true,false,true,good,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2YPGARAKET7N5,0,176,true,true,false,false,true,not bad,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2Z5EYXYLY5RKB,0,113,false,true,false,false,true,"No all circles are yellow so I choose the answer for 5th question as true, since some of the circles are also yellow.",,
2HFULRGNTBJ746BC80G7W62KIO67T8,A31DCV9Y0LYB3,0,74,false,false,false,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A32ZZXGYZX209Y,0,130,false,true,true,true,false,All Circles are yellow,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A3485IQYNO94GA,0,55,false,true,true,true,false,no,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A34CPOHPR0ZR0R,0,70,false,true,true,false,true,no comments,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A37AJI03M37NPJ,0,48,false,true,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A37M4OVE9R80G,0,53,true,true,true,false,false,SOME THING DIFFERENT,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A3QV1H6T7CUNUE,0,64,true,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A3W0NHITWBDR5I,0,73,true,true,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A997OZ3H2B3Q2,0,52,false,true,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A9JHTV37LSE5F,0,46,false,false,true,false,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,AATBV6YR0R51U,0,24,false,false,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,ACG0A16FI0MOJ,0,101,false,true,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,ACGF1YHQCI2Z6,0,32,true,false,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,AHLADH7JTJRO8,0,241,false,true,true,true,true,Good task.,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AL8SHK05TI0A9,0,159,false,true,true,false,false,NO,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,AMHZ8D856PO3F,0,134,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AO8LXT6Z1D9MU,0,67,false,false,true,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AUBB8KU9XV2R8,0,70,false,true,false,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AVUB4GDC2GE48,0,38,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AWIO57CI1ZBIH,0,91,false,false,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AX8OUA7C61I4H,0,50,false,true,false,false,true,,,
