HITId,WorkerId,WorkTimeInSeconds,Answer.S1,Answer.S2,Answer.S3,Answer.S4,Answer.S5
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1E7OHVYT28ZZ7,63,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A197EXGCMR52KI,38,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2Q9AI41EH40ME,1693,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1IPZGHZ1OKEMG,126,false,false,false,false,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,AFHLZ5N0FVBPF,56,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A15Z0T2Y2B4WLM,76,false,false,false,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,AWQ0LCLKBDQHI,56,true,false,true,false,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2YW509B0UMSEH,90,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A3S9TRCVQEAWFW,78,false,false,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A3Z8J9G2CIQ0U,116,false,false,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,ARUKOYG71MKP3,82,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A259WL09N16KPL,121,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2MZ9GB1QR6PYK,42,false,false,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A3485IQYNO94GA,50,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A19BNR0HVICIT3,79,false,true,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1TZT6IH99DO6Q,50,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A37JMX3HTQYLHU,144,false,true,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1A8ET28NGXPVO,72,false,false,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2UNW2BIM2C8NU,100,false,true,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A32SUEHDAATBBT,64,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A25MAA14V6FLE3,246,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A112NN1QM6NZ56,53,false,false,false,false,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2I4A4WGWII18Z,64,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1PRWRRWNYSKWE,40,false,true,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2TVQMMI5TNQPJ,36,false,true,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1RG0WRPSK5BAV,38,false,false,true,false,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A997OZ3H2B3Q2,109,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A12WUOCJVJ4C2N,123,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2TEXDH99YZ3VU,119,false,true,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2D62XIREOVCH7,38,false,true,true,false,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A15YF53JJK7MRC,173,true,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A3U7P73AIQVS9S,36,false,false,false,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2YM7PJ6OSMSR9,36,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1C6IDFH399GG0,41,false,false,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2F6OIK5VNWDX4,40,false,true,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2WLTDIILI4K16,34,false,true,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2WNW8A4MOR7T7,40,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,AWIO57CI1ZBIH,44,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A3FN5XTAT9I00A,94,false,false,false,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,AGMSPB6VYCCFK,49,false,false,false,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2OAZPREKF6PQR,55,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1NHTBY5YB9JH7,79,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A9UBPUEWAMA06,79,false,true,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A1WL7S1G00PUDX,55,false,false,true,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A3HU036FFRA7TQ,31,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A169ZQ2MGATEKE,109,false,false,false,true,true
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2CVIZ8QM4DAM9,51,true,false,true,false,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,A2QX30PEG8W87U,46,false,false,true,true,false
2PWBDPGFL6VG7GXOU84WROV1TL0J48,AQPWA0ZDAGHGM,21,false,false,true,true,false
