HITId,WorkerId,WorkTimeInSeconds,Answer.S1,Answer.S2,Answer.S3,Answer.S4,Answer.S5,Answer.comment,Approve,Reject
2HFULRGNTBJ746BC80G7W62KIO67T8,A14J86Y1L3RCQ0,207,false,false,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A14J86Y1L3RCQ0,149,false,true,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A14ZS4XY2AXKXA,61,false,true,false,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A15YF53JJK7MRC,40,false,true,true,false,true,good work.,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A170AK4GI2S5G1,44,true,true,false,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1823B3S2PJMGQ,14,false,true,true,false,true,good,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1823B3S2PJMGQ,54,false,true,true,false,true,good,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1A0AISMRZ2VY4,31,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1C2LRGS40747I,58,false,false,true,false,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1P2EVJXWYR94M,39,false,false,false,true,true,i like this hit very much.,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1S88VQY8G8CNC,140,false,false,true,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1TZT6IH99DO6Q,52,false,true,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1UYS657H2WSZW,83,false,true,true,false,true,good,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A1VTKPIKK5OT2D,28,false,true,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1WZHQWRROO7A5,65,false,true,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1X0LKW8471HJD,147,false,true,false,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1XJ3038CPMHX,54,false,false,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A1Z22XQTUPTAU9,27,false,false,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A20ZH2NQ4ZXERB,39,true,true,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A22YXDQXUL7ANX,95,false,true,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A23AV72MKVTNW2,63,false,true,false,true,true,Simple work.,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A23XMMNVHAA02V,73,false,true,false,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A275SOA03Z98P7,74,false,false,true,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A28V53LZWCL8A3,17,false,false,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A28V53LZWCL8A3,32,true,false,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2D62XIREOVCH7,41,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2FLZZ8Z4YEOPR,87,false,false,true,false,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2HD5XMM48KKJW,66,false,false,true,false,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2IBLAKBXPA6PQ,25,true,true,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2KZ1NOHO4QFOQ,373,false,true,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2N0C6CGQXE2NS,71,false,true,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2PDSA5Q62R5K7,66,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2RNW82K96UYBM,67,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2U1DQGDXO0VSK,40,false,false,true,true,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2YM7PJ6OSMSR9,73,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2YPGARAKET7N5,28,false,true,true,false,true,good,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A2YPGARAKET7N5,176,true,true,false,false,true,not bad,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A2Z5EYXYLY5RKB,113,false,true,false,false,true,"No all circles are yellow so I choose the answer for 5th question as true, since some of the circles are also yellow.",,
2HFULRGNTBJ746BC80G7W62KIO67T8,A31DCV9Y0LYB3,74,false,false,false,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A32ZZXGYZX209Y,130,false,true,true,true,false,All Circles are yellow,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A3485IQYNO94GA,55,false,true,true,true,false,no,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A34CPOHPR0ZR0R,70,false,true,true,false,true,no comments,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A37AJI03M37NPJ,48,false,true,true,true,true,,,
