Subject	Trial	Block	Condition	Item	Response
10	1	1	tf_aee	3	EC
10	2	1	rf_fff	24	none
10	3	1	tf_aen	9	LC
10	4	1	tf_ale	15	EC
10	5	1	ca_glb	9	correct
10	6	1	ge_akz	4	local
10	7	1	tf_ael	7	false
10	8	1	ae_akz	4	local
10	9	1	tf_ael	5	LC
10	10	1	tf_all	19	false
10	11	1	rf_fff	14	none
10	12	1	rf_fff	9	none
10	13	1	cg_lit	12	correct
10	14	1	tf_dec	13	correct
10	15	1	cg_lit	10	correct
10	16	1	rf_fff	4	none
10	17	1	tf_aln	23	LC
10	18	1	tf_dlc	27	false
10	19	1	cg_loc	14	correct
10	20	1	tf_aee	1	LC
10	21	1	tf_dec	11	correct
10	22	1	ae_akz	6	local
10	23	1	ca_loc	15	correct
10	24	1	rf_fff	22	none
10	25	1	ca_lit	11	correct
10	26	1	rf_fff	17	none
10	27	1	tf_dlc	25	false
10	28	1	ca_loc	13	correct
10	29	1	tf_ale	17	LC
10	30	1	tf_all	21	LC
10	31	1	rf_fff	19	none
10	32	1	ge_akz	6	local
10	33	1	rf_fff	12	none
10	34	1	cg_glb	8	correct
10	35	1	rf_fff	6	none
10	36	1	ae_ntr	2	local
10	37	1	ge_ntr	2	local
10	38	1	rf_fff	2	none
10	39	1	ca_glb	7	correct
10	40	2	ae_akz	5	local
10	41	2	ae_ntr	1	local
10	42	2	ae_ntr	3	local
10	43	2	ca_glb	8	correct
10	44	2	ca_lit	10	correct
10	45	2	ca_lit	12	correct
10	46	2	ca_loc	14	correct
10	47	2	cg_glb	7	correct
10	48	2	cg_glb	9	correct
10	49	2	cg_lit	11	false
10	50	2	cg_loc	13	correct
10	51	2	cg_loc	15	correct
10	52	2	ge_akz	5	local
10	53	2	ge_ntr	1	local
10	54	2	ge_ntr	3	local
10	55	2	rf_fff	3	none
10	56	2	rf_fff	5	none
10	57	2	rf_fff	7	none
10	58	2	rf_fff	10	none
10	59	2	rf_fff	13	none
10	60	2	rf_fff	15	none
10	61	2	rf_fff	18	none
10	62	2	rf_fff	20	none
10	63	2	rf_fff	23	none
10	64	2	rf_fff	27	none
10	65	2	tf_aee	2	false
10	66	2	tf_ael	4	LC
10	67	2	tf_ael	6	LC
10	68	2	tf_aen	8	EC
10	69	2	tf_aen	10	EC
10	70	2	tf_ale	16	LC
10	71	2	tf_all	18	LC
10	72	2	tf_all	20	LC
10	73	2	tf_aln	22	EC
10	74	2	tf_aln	24	EC
10	75	2	tf_dec	12	correct
10	76	2	tf_dec	14	correct
10	77	2	tf_dlc	26	correct
10	78	2	tf_dlc	28	correct
11	1	1	tf_dlc	20	correct
11	2	1	tf_ale	10	LC
11	3	1	rf_fff	22	none
11	4	1	ae_akz	6	literal
11	5	1	tf_all	12	LC
11	6	1	rf_fff	19	none
11	7	1	ae_ntr	2	literal
11	8	1	ca_loc	15	correct
11	9	1	tf_dec	6	correct
11	10	1	ca_glb	7	correct
11	11	1	tf_dec	4	false
11	12	1	ca_loc	13	correct
11	13	1	rf_fff	14	none
11	14	1	rf_fff	6	none
11	15	1	tf_aln	16	LC
11	16	1	ca_glb	9	correct
11	17	1	tf_ael	26	LC
11	18	1	tf_ael	28	LC
11	19	1	cg_lit	10	correct
11	20	1	rf_fff	4	none
11	21	1	ca_lit	11	correct
11	22	1	ge_ntr	2	literal
11	23	1	rf_fff	2	none
11	24	1	ae_akz	4	literal
11	25	1	cg_loc	14	correct
11	26	1	tf_dlc	18	correct
11	27	1	tf_aee	22	LC
11	28	1	ge_akz	6	literal
11	29	1	rf_fff	24	none
11	30	1	tf_aee	24	LC
11	31	1	tf_all	14	LC
11	32	1	tf_aen	2	LC
11	33	1	rf_fff	9	none
11	34	1	cg_lit	12	false
11	35	1	rf_fff	12	none
11	36	1	rf_fff	17	none
11	37	1	ge_akz	4	literal
11	38	1	cg_glb	8	correct
11	39	1	tf_ale	8	LC
11	40	2	ae_akz	5	local
11	41	2	ae_ntr	1	local
11	42	2	ae_ntr	3	local
11	43	2	ca_glb	8	correct
11	44	2	ca_lit	10	false
11	45	2	ca_lit	12	false
11	46	2	ca_loc	14	correct
11	47	2	cg_glb	7	correct
11	48	2	cg_glb	9	correct
11	49	2	cg_lit	11	correct
11	50	2	cg_loc	13	correct
11	51	2	cg_loc	15	correct
11	52	2	ge_akz	5	literal
11	53	2	ge_ntr	1	literal
11	54	2	ge_ntr	3	literal
11	55	2	rf_fff	3	none
11	56	2	rf_fff	5	none
11	57	2	rf_fff	7	none
11	58	2	rf_fff	10	none
11	59	2	rf_fff	13	none
11	60	2	rf_fff	15	none
11	61	2	rf_fff	18	none
11	62	2	rf_fff	20	none
11	63	2	rf_fff	23	none
11	64	2	rf_fff	27	none
