ExperimentName	Subject	Session	Clock.Information	Clock.StartTimeOfDay	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	SessionTimeUtc	Block	Procedure.Block.	Running.Block.	Sound.LoadAffinity	WholeExperiment	WholeExperiment.Cycle	WholeExperiment.Sample	Trial	Audio.Trial.	Blocks	Blocks.Cycle	Blocks.Sample	Condition.Trial.	correct.Trial.	DecisionTime.Trial.	ec.Trial.	glb.Trial.	Item.Trial.	lc.Trial.	lit.Trial.	loc.Trial.	Picture.Trial.	PractiseList	PractiseList.Cycle	PractiseList.Sample	Procedure.Trial.	Running.Trial.	Sentence.Trial.	Slide1.OnsetTime.Trial.	Slide1.RESP.Trial.	Slide1.RT.Trial.	Slide1.SentenceRepititionCount1.Trial.	Slide2.OnsetTime.Trial.	Slide2.RESP.Trial.	Slide2.RT.Trial.	Slide2.SentenceRepititionCount1.Trial.	Slide3.OnsetTime.Trial.	Slide3.RESP.Trial.	Slide3.RT.Trial.	Slide3.SentenceRepititionCount1.Trial.	Slide4.OnsetTime.Trial.	Slide4.RESP.Trial.	Slide4.RT.Trial.	Slide4.SentenceRepititionCount1.Trial.	Slide5.NoMoreRepititionCount.Trial.	Slide5.OnsetTime.Trial.	Slide5.RESP.Trial.	Slide5.RT.Trial.	Slide5.SentenceRepititionCount.Trial.	Slide5.SentenceRepititionCount1.Trial.	Slide6.NoMoreRepititionCount.Trial.	Slide6.OnsetTime.Trial.	Slide6.RESP.Trial.	Slide6.RT.Trial.	Slide6.SentenceRepititionCount.Trial.	Slide6.SentenceRepititionCount1.Trial.	Slide7.NoMoreRepititionCount.Trial.	Slide7.OnsetTime.Trial.	Slide7.RESP.Trial.	Slide7.RT.Trial.	Slide7.SentenceRepititionCount1.Trial.	Total.CorrectResp.Trial.	SubTrial	Audio.SubTrial.	Block1List	Block1List.Cycle	Block1List.Sample	Block2List	Block2List.Cycle	Block2List.Sample	Condition.SubTrial.	correct.SubTrial.	DecisionTime.SubTrial.	ec.SubTrial.	glb.SubTrial.	Item.SubTrial.	lc.SubTrial.	lit.SubTrial.	loc.SubTrial.	Picture.SubTrial.	Procedure.SubTrial.	Running.SubTrial.	Sentence.SubTrial.	Slide1.OnsetTime.SubTrial.	Slide1.RESP.SubTrial.	Slide1.RT.SubTrial.	Slide1.SentenceRepititionCount1.SubTrial.	Slide2.OnsetTime.SubTrial.	Slide2.RESP.SubTrial.	Slide2.RT.SubTrial.	Slide2.SentenceRepititionCount1.SubTrial.	Slide3.OnsetTime.SubTrial.	Slide3.RESP.SubTrial.	Slide3.RT.SubTrial.	Slide3.SentenceRepititionCount1.SubTrial.	Slide4.OnsetTime.SubTrial.	Slide4.RESP.SubTrial.	Slide4.RT.SubTrial.	Slide4.SentenceRepititionCount1.SubTrial.	Slide5.NoMoreRepititionCount.SubTrial.	Slide5.OnsetTime.SubTrial.	Slide5.RESP.SubTrial.	Slide5.RT.SubTrial.	Slide5.SentenceRepititionCount.SubTrial.	Slide5.SentenceRepititionCount1.SubTrial.	Slide6.NoMoreRepititionCount.SubTrial.	Slide6.OnsetTime.SubTrial.	Slide6.RESP.SubTrial.	Slide6.RT.SubTrial.	Slide6.SentenceRepititionCount.SubTrial.	Slide6.SentenceRepititionCount1.SubTrial.	Slide7.NoMoreRepititionCount.SubTrial.	Slide7.OnsetTime.SubTrial.	Slide7.RESP.SubTrial.	Slide7.RT.SubTrial.	Slide7.SentenceRepititionCount1.SubTrial.	Total.CorrectResp.SubTrial.	Total.ECResp	Total.GLBResp	Total.LCResp	Total.LITResp	Total.LOCResp	response
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	1	wavs\01_a_rf_fff.wav	NA	NA	NA	a_rf_fff	-3	25269	0	0	1	0	0	0	pictures\rf_01	1	1	1	Uncover6	PractiseList	Jeder Brief ist mit der Hälfte seiner Kreise verbunden.	18253	k	3192	0	21475	k	1450	0	22979	j	2257	0	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	0	0	NA	NA	0		NA	NA	1	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	2	wavs\08_a_rf_fff.wav	NA	NA	NA	a_rf_fff	-2	55379	0	0	8	0	0	0	pictures\rf_08	2	1	2	Uncover6	PractiseList	Kein Blitz ist mit einigen Dreiecken verbunden.	29161	k	7914	2	50484	k	2124	0	52644	f	2708	0	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	0	0	NA	NA	0		NA	NA	NA	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	3	wavs\11_a_rf_fff.wav	NA	NA	NA	a_rf_fff	-6	81220	0	0	11	0	0	0	pictures\rf_11	3	1	3	Uncover6	PractiseList	Einige Stifte sind mit genau sechs Sechsecken verbunden.	59844	k	3055	0	62947	k	716	1	73204	k	1500	0	74738	k	1171	0	NA	75938	k	3267	NA	0	0	79234	j	1958	0	NA	NA	0		NA	NA	NA	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	4	wavs\16_a_rf_fff.wav	NA	NA	NA	a_rf_fff	-6	97987	0	0	16	0	0	0	pictures\rf_16	4	1	4	Uncover6	PractiseList	Die Hälfte der Scheren hat mehr als vier Verbindungen.	84931	k	2898	0	87875	k	3274	0	91202	k	1281	0	92514	k	940	0	NA	93490	f	4460	NA	0	0	0	0	0	0	NA	NA	0		NA	NA	NA	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	5	wavs\21_a_rf_fff.wav	NA	NA	NA	a_rf_fff	-3	107123	0	0	21	0	0	0	pictures\rf_21	5	1	5	Uncover5	PractiseList	Die Hälfte der Briefe ist mit genau zwei ihrer Fünfecke verbunden.	102742	j	4329	0	0	0	0	NA	0	0	0	NA	0	0	0	NA	0	0	0	0	0	NA	NA	0		NA	NA	NA	NA	0		NA	NA	NA	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	6	wavs\25_a_rf_fff.wav	NA	NA	NA	a_rf_fff	1	122211	0	0	25	0	0	0	pictures\rf_25	6	1	6	Uncover7	PractiseList	Alle Stifte, die mit einem Quadrat verbunden sind, sind grün.	111687	k	3787	0	115507	k	1069	0	116610	k	988	0	117634	k	988	0	NA	118658	k	989	NA	0	NA	119682	k	830	NA	0	0	120546	j	1636	0	NA	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	7	wavs\26_a_rf_fff.wav	NA	NA	NA	a_rf_fff	7	138227	0	0	26	0	0	0	pictures\rf_26	7	1	7	Uncover7	PractiseList	Alle Glocken, die mit einem Achteck verbunden sind, sind rot.	126807	k	3372	0	130227	k	757	0	131010	k	1249	0	132290	k	639	0	NA	132962	k	1457	NA	0	NA	134450	k	859	NA	0	0	135345	f	2846	0	1	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	1	Practice	WholeExperiment	NA	1	1	1	8	wavs\28_a_rf_fff.wav	NA	NA	NA	a_rf_fff	1	160387	0	0	28	0	0	0	pictures\rf_28	8	1	8	Uncover6	PractiseList	Kein Brief, der unverbunden ist, ist rot.	141786	k	5069	0	146882	k	1421	0	148337	k	7314	0	155714	j	4636	0	NA	0	0	0	NA	NA	0	0	0	0	0	NA	NA	0		NA	NA	NA	NA		NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA					NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	2	Experiment	WholeExperiment	NA	2	1	2	1		1	1	1		NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	Block1	Blocks		NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	1	wavs\01_a_tf_axe.wav	27	1	1	NA	NA	NA	a_tf_aee	0	184386	-3	0	1	5	0	0	pictures\ec_01	Uncover5	Block1List	Der Brief ist mit Kreisen und Vierecken mit Sonnen verbunden.	168134	k	4527	1	178882	k	620	0	179537	j	4821	0	0	0	0	NA	0	0	0	0	0	NA	NA	0		NA	NA	NA	NA	0		NA	NA	NA	1	NA	NA	NA	NA	-3
experiment_aud_3_1_1	17	17	<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2593230000</Frequency><Timestamp dt:dt=r8>3923494318198</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-12-15T08:28:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	15.12.11 9:28	85.032	1	-1593549955	12-15-2011	9:28:00	8:28:00	2	Experiment	WholeExperiment	NA	2	1	2	1		1	1	1		NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	Block1	Blocks		NA		NA	NA	NA		NA	NA	NA		NA	NA	NA		NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	NA	NA		NA	NA	NA	2	wavs\13_a_ge_akz.wav	13	1	2	NA	NA	NA	a_ge_akz	0	192995	0	-2	13	0	-3	5	pictures\ge_13	Uncover5	Block1List	Genau eine der Scheren ist mit nur einigen ihrer Fünfecke verbunden.	189180	k	1170	0	190401	f	2563	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	NA	NA	0		NA	NA	NA	NA	0		NA	NA	NA	NA	NA	NA	NA	NA	2
