Subject	succ_controls	succ_TF	succ_total	a_ae_ntr_pos_1	a_ae_ntr_pos_2	a_ae_ntr_pos_3	a_ae_akz_pos_1	a_ae_akz_pos_2	a_ae_akz_pos_3	a_ge_ntr_pos_1	a_ge_ntr_pos_2	a_ge_ntr_pos_3	a_ge_akz_pos_1	a_ge_akz_pos_2	a_ge_akz_pos_3	a_ae_ntr_type	a_ae_akz_type	a_ge_ntr_type	a_ge_akz_type	a_tf_aee_pos_1	a_tf_aee_pos_2	a_tf_aee_pos_3	a_tf_aee_pos_4	a_tf_ael_pos_1	a_tf_ael_pos_2	a_tf_ael_pos_3	a_tf_ael_pos_4	a_tf_aen_pos_1	a_tf_aen_pos_2	a_tf_aen_pos_3	a_tf_aen_pos_4	a_tf_ale_pos_1	a_tf_ale_pos_2	a_tf_ale_pos_3	a_tf_ale_pos_4	a_tf_all_pos_1	a_tf_all_pos_2	a_tf_all_pos_3	a_tf_all_pos_4	a_tf_aln_pos_1	a_tf_aln_pos_2	a_tf_aln_pos_3	a_tf_aln_pos_4	a_tf_dec_pos_1	a_tf_dec_pos_2	a_tf_dec_pos_3	a_tf_dec_pos_4	a_tf_dlc_pos_1	a_tf_dlc_pos_2	a_tf_dlc_pos_3	a_tf_dlc_pos_4	a_tf_aee_type	a_tf_ael_type	a_tf_aen_type	a_tf_ale_type	a_tf_all_type	a_tf_aln_type	target_types	TF_types
10	0.944444444	0.75	0.884615385	local	local	local	local	local	local	local	local	local	local	local	local	localist	localist	localist	localist	EC	LC	false	none	false	LC	LC	LC	LC	EC	EC	none	EC	LC	LC	none	false	LC	LC	LC	LC	EC	EC	none	correct	correct	correct	correct	false	false	correct	correct	inconsistent	LCist	inconsistent	inconsistent	LCist	inconsistent	localist	inconsistent
11	0.833333333	0.875	0.846153846	literal	local	local	literal	literal	local	literal	literal	literal	literal	literal	literal	inconsistent	inconsistent	literalist	literalist	LC	LC	LC	none	LC	LC	LC	LC	LC	LC	false	none	LC	LC	LC	none	LC	LC	LC	LC	LC	LC	LC	none	correct	false	correct	correct	correct	correct	correct	correct	LCist	LCist	LCist	LCist	LCist	LCist	inconsistent	LCist
12	0.833333333	1	0.884615385	literal	false	false	literal	false	false	local	local	local	false	local	local	literalist	literalist	localist	localist	LC	false	LC	none	LC	LC	LC	false	LC	LC	LC	none	LC	LC	false	none	LC	LC	LC	LC	LC	LC	LC	none	correct	correct	correct	correct	correct	correct	correct	correct	LCist	LCist	LCist	LCist	LCist	LCist	inconsistent	LCist
13	0.944444444	0.875	0.923076923	literal	literal	literal	literal	literal	literal	literal	literal	literal	literal	false	literal	literalist	literalist	literalist	literalist	LC	LC	LC	none	LC	LC	LC	LC	LC	LC	LC	none	LC	LC	LC	none	LC	LC	LC	LC	LC	LC	LC	none	correct	correct	correct	false	correct	correct	correct	correct	LCist	LCist	LCist	LCist	LCist	LCist	literalist	LCist
14	0.944444444	1	0.958333333	literal	literal	literal	literal	literal	literal	false	local	local	false	false	local	literalist	literalist	localist	localist	LC	LC	LC	LC	false	false	LC	none	LC	LC	LC	LC	false	LC	LC	EC	LC	LC	LC	none	LC	LC	LC	LC	correct	correct	correct	none	correct	correct	correct	none	LCist	LCist	LCist	inconsistent	LCist	LCist	inconsistent	inconsistent
15	0.944444444	0.833333333	0.916666667	literal	literal	literal	literal	literal	literal	literal	literal	literal	false	false	false	literalist	literalist	literalist	inconsistent	EC	LC	EC	false	LC	LC	LC	none	LC	EC	EC	EC	EC	EC	EC	EC	LC	LC	LC	none	LC	EC	EC	EC	false	correct	correct	none	correct	correct	correct	none	inconsistent	LCist	inconsistent	ECist	LCist	inconsistent	inconsistent	inconsistent
16	0.888888889	1	0.916666667	literal	literal	literal	false	global	literal	literal	local	local	false	literal	local	literalist	inconsistent	inconsistent	inconsistent	LC	LC	LC	LC	LC	LC	LC	none	LC	LC	LC	false	LC	LC	LC	LC	LC	LC	LC	none	LC	LC	LC	LC	correct	correct	correct	none	correct	correct	correct	none	LCist	LCist	LCist	LCist	LCist	LCist	inconsistent	LCist
17	0.833333333	0.75	0.807692308	literal	literal	literal	literal	literal	literal	false	literal	literal	false	literal	literal	literalist	literalist	literalist	literalist	EC	false	LC	none	EC	LC	LC	LC	LC	EC	EC	none	EC	LC	LC	none	EC	LC	LC	EC	LC	EC	LC	none	correct	correct	correct	false	false	correct	correct	correct	inconsistent	inconsistent	inconsistent	inconsistent	inconsistent	inconsistent	literalist	inconsistent
18	0.944444444	0.833333333	0.916666667	local	local	local	local	local	local	local	local	local	local	global	local	localist	localist	localist	inconsistent	EC	EC	EC	EC	false	LC	LC	none	LC	LC	EC	EC	EC	EC	EC	EC	LC	LC	LC	none	LC	LC	EC	EC	correct	correct	correct	none	false	correct	correct	none	ECist	LCist	inconsistent	ECist	LCist	inconsistent	inconsistent	inconsistent
19	0.833333333	0.75	0.807692308	literal	local	false	literal	literal	local	local	local	local	local	local	local	inconsistent	inconsistent	localist	localist	LC	LC	LC	none	LC	LC	LC	LC	LC	LC	false	none	false	false	LC	none	LC	LC	LC	LC	LC	LC	LC	none	false	correct	correct	correct	correct	false	correct	correct	LCist	LCist	LCist	LCist	LCist	LCist	inconsistent	LCist
